caseID|caseOpenDate|property_propertyID|codeOfficer_officerID|CaseStatus_ceEventStatusID|comments
1605|2016-07-29 00:00:00|19113|2|6|None
1606|2016-07-29 00:00:00|18143|0|6|None
1607|2016-07-29 00:00:00|19190|2|6|None
1608|2016-07-29 00:00:00|18239|2|6|None
1609|2016-07-29 00:00:00|15927|0|6|None
1610|2016-07-29 00:00:00|15932|0|6|None
1611|2016-07-29 00:00:00|16709|0|6|None
1612|2016-07-29 00:00:00|12198|0|6|None
1613|2016-07-29 00:00:00|12212|0|6|None
1614|2016-08-01 00:00:00|20064|0|6|None
1615|2016-08-01 00:00:00|20519|2|6|None
1616|2016-07-28 00:00:00|11964|0|6|None
1617|2016-07-28 00:00:00|16615|0|6|None
1618|2016-08-01 00:00:00|16415|0|6|None
1619|2016-08-01 00:00:00|14544|0|6|None
1620|2016-08-01 00:00:00|13198|0|6|None
1621|2016-08-02 00:00:00|15868|0|6|None
1622|2016-08-01 00:00:00|12761|0|6|None
1623|2016-08-02 00:00:00|19149|0|6|None
1624|2016-08-02 00:00:00|18582|2|6|None
1625|2016-08-02 00:00:00|18865|0|6|None
1626|2016-08-02 00:00:00|18482|2|6|None
3231|2017-04-13 00:00:00|19898|4|6|The house is in general disrepair, porch roof deteriorated, gutters falling off of house, weeds growing up the side of the house, window frames and fascia need protective treatment.
3232|2017-04-13 00:00:00|19899|4|6|Fascia missing from parts of house, Public sidewalk in disrepair, Front steps in disrepair, garage gutter not secure to structure, garage froom in disrepair, protective treatment of garage deteriorating.
3233|2017-04-13 00:00:00|16546|0|6|None
3234|2017-04-13 00:00:00|16734|6|6|None
3235|2017-04-13 00:00:00|12740|6|6|None
3236|2017-04-13 00:00:00|19850|4|6|A television, a tire and misc. building materials are still present on the property along with numerous smaller items.
3237|2017-04-13 00:00:00|16680|6|6|None
3238|2017-04-13 00:00:00|20000|4|6|Garbage and rubbsih observed around property, front part of property has missing protective treatment
3239|2017-04-13 00:00:00|13818|6|6|None
3240|2017-04-13 00:00:00|15029|6|6|None
3241|2017-04-13 00:00:00|16926|6|6|None
3242|2017-04-13 00:00:00|20170|4|6|garbage and rubbsih were observed in the parking area and along the side of the house.
3243|2017-04-13 00:00:00|12083|6|6|None
3244|2017-04-17 00:00:00|15294|6|6|None
3245|2017-04-17 00:00:00|13756|0|6|None
3246|2017-04-17 00:00:00|15539|6|6|None
3247|2017-04-17 00:00:00|16096|6|6|None
3248|2017-04-17 00:00:00|14772|6|6|None
3249|2017-04-17 00:00:00|20588|4|6|None
3250|2017-04-17 00:00:00|14852|6|6|None
3252|2017-04-17 00:00:00|20378|4|6|After speaking with the shiring agency, it was determined that the tenants in 1040 Largo Way were there without a permit. The agency is working to remedy the situation.
3253|2017-04-17 00:00:00|20237|4|6|An inspection was performed on 3/14/17, the premises failed and no re-inspection was scheduled.
3254|2017-04-17 00:00:00|12970|6|6|None
3255|2017-04-17 00:00:00|16464|6|6|None
3256|2017-04-17 00:00:00|13917|6|6|None
3257|2017-04-18 00:00:00|13282|0|6|None
3258|2017-04-18 00:00:00|16365|0|6|None
3259|2017-04-18 00:00:00|17380|0|6|None
30|2015-04-02 00:00:00|16280|1|6|Oberserved numerous bags of rubbish / garbage set out by the curb but was not picked up. Looked like somebody cleaned out the rental unit.
31|2015-04-02 00:00:00|14722|1|6|Carport looks like it blew over or apart exposing the car it was covering. As of 4/27/15 the carport was removed but the vehicle was still in the side yard area of the property.
32|2015-04-02 00:00:00|13681|1|6|On two separate occasions, most recently 4/2 at 13:30, during a rainstorm water was observed flowing out of the gutter system that was not properly attached.
33|2015-04-03 00:00:00|11995|1|6|Observed a blue vehicle in the driveway of this property without a license plate displayed.
34|2015-03-30 00:00:00|14325|1|6|Twp manager asked to keep an eye on the property conditions for weeds and rubbish. The property is up for sale or lease and no tenant occupy the current structure that housed the Hooters bar
35|2015-04-06 00:00:00|15898|1|6|Observed a couch out by the curb that has been there for a few days, also a significant collection of rubbish, debris, household items on the front porch.
36|2015-04-06 00:00:00|14583|1|6|Continued complaint of rubbish being put out at the curb before the scheduled day, mattress was not put in the garage as the property owner stated he would do on Thursday 4/2. Called and left messages with mr. edgar regarding the ongoing issues.
37|2015-04-06 00:00:00|16292|1|6|Observed the wall in front of the old D'imperio's fell, was knocked over or was torn down and was laying exposed as a pile of ruble in the parking lot. Also, an old tv stand and door are laying where the dumpster was located.
