violationID|municipalCodeNum|violationName|violationLetter|active
55|816|§108.1 Unsafe Structure, General|When a structure or equipment is found by the code official to be unsafe, or when a structure is found unfit for human occupancy, or is found unlawful, such structure shall be condemned pursuant to the provisions of this code.|True
56|816|§108.1.1 Unsafe Structures|An unsafe structure is one that is found to be dangerous to the life, health, property or safety of the public or the occupants of the structure by not providing minimum safeguards to protect or warn occupants in the event of fire, or because such structure contains unsafe equipment or is so damaged, decayed, dilapidated, structurally unsafe or of such faulty construction or unstable foundation, that partial or complete collapse is possible.|True
58|816|§108.1.3 Structure Unfit for Human Occupancy|A structure is unfit for human occupancy whenever the code official finds that such structure is unsafe, unlawful or, because of the degree to which the structure is in disrepair or lacks maintenance, is insanitary, vermin or rat infested, contains filth or contamination, or lacks ventilation, illumination, sanitary or heating facilities or other essential equipment required by this code, or because the location of the structure constitutes a hazard to the occupants of the structure or to the public.|True
59|816|§301.2 Responsibility|The owner of the premises shall maintain the structures and the exterior of the property in compliance with these requirements, except as otherwise provided for in this code. A person shall not occupy as owner-occupant or permit another person to occupy premises which are not in a sanitary and safe condition and which do not comply with the requirements of this chapter. Occupants of a dwelling unit, rooming unit or housekeeping unit are responsible for keeping in a clean, sanitary and safe condition that part of the dwelling unit, rooming unit, housekeeping unit or premises which they occupy and control.|True
60|816|§301.3 Vacant Structures and Land|All vacant structures and premises thereof or vacant land shall be maintained in a clean, safe, secure and sanitary condition as provided herein so as not to cause a blighting problem or adversely affect the public health or safety.|True
61|816|§302.1 Sanitation|All exterior property and premises shall be maintained in a clean, safe and sanitary condition. The occupant shall keep that part of the exterior property which such occupant occupies or controls in a clean and sanitary condition.|True
62|816|§302.3 Sidewalks and Driveways|All sidewalks, walkways, stairs, driveways, parking spaces and similar areas shall be kept in proper state of repair, and maintained free from hazardous conditions.|True
63|816|§302.4 Weeds|All premises and exterior property shall be maintained free from weeds or plant growth in excess of six inches. All noxious weeds shall be prohibited. Weeds shall be defined as all grasses, annual plants and vegetation, other than trees or shrubs provided; however, this term shall not include cultivated flowers and gardens.|True
64|816|§302.7 Accessory Structures|All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.|True
65|816|§302.8 Motor Vehicles|Except as provided for in other regulations, no inoperative or unlicensed motor vehicle shall be parked, kept or stored on any premises, and no vehicle shall at any time be in a state of major disassembly, disrepair, or in the process of being stripped or dismantled. Painting of vehicles is prohibited unless conducted inside an approved spray booth. Exception: A vehicle of any type is permitted to undergo major overhaul, including body work, provided that such work is performed inside a structure or similarly enclosed area designed and approved for such purposes.|True
66|816|§303.1 Swimming Pools|Swimming pools shall be maintained in a clean and sanitary condition, and in good repair.|True
67|816|§303.2 Enclosures|Private swimming pools, hot tubs and spas, containing water more than 24 inches in depth shall be completely surrounded by a fence or barrier at least 48 inches in height above the finished ground level measured on the side of the barrier away from the pool. Gates and doors in such barriers shall be self-closing and self-latching. Where the self-latching device is a minimum of 54 inches above the bottom of the gate, the release mechanism shall be located on the pool side of the gate. Self-closing and self-latching gates shall be maintained such that the gate will positively close and latch when released from an open position of six inches from the gatepost. No existing pool enclosure shall be removed, replaced or changed in a manner that reduces its effectiveness as a safety barrier. Exception: Spas or hot tubs with a safety cover that complies with ASTM F 1346 shall be exempt from the provisions of this section.|True
68|816|§304.3 Premises Identification|Buildings shall have approved address numbers placed in a position to be plainly legible and visible from the street or road fronting the property. These numbers shall contrast with their background. Address numbers shall be Arabic numerals or alphabet letters. Numbers shall be a minimum of 4 inches in height with a minimum stroke width of 0.5 inch.|True
69|816|§308.1 Accumulation of Rubbish or Garbage|All exterior property and premises, and the interior of every structure, shall be free from any accumulation of rubbish or garbage.|True
70|816|§308.2 Disposal of Rubbish|Every occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.|True
71|816|§308.2.1 Rubbish Storage Facilities|The owner of every occupied premises shall supply approved covered containers for rubbish, and the owner of the premises shall be responsible for the removal of rubbish.|True
72|816|§308.3 Disposal of Garbage|Every occupant of a structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or approved garbage containers|True
73|816|§308.3.1 Garbage Facilities|The owner of every dwelling shall supply one of the following; an approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leakproof, covered, outside garbage container.|True
74|816|§308.3.2 Containers|The operator of every establishment producing garbage shall provide, and at all times cause to be utilized, approved leakproof containers provided with close-fitting covers for the storage of such materials until removed from the premises for disposal.|True
75|816|§309.1 Infestation|All structures shall be kept free from insect and rodent infestation. All structures in which insects or rodents are found shall be promptly exterminated by approved processes that will not be injurious to human health. After pest elimination, proper precautions shall be taken to prevent reinfestation.|True
76|816|§309.2 Owner|The owner of any structure shall be responsible for pest elimination within the structure prior to renting or leasing the structure.|True
77|816|§309.3 Single Occupant|The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for pest elimination on the premises.|True
78|816|§309.4 Multiple Occupancy|The owner of a structure containing two or more dwelling units, a multiple occupancy, a rooming house or a nonresidential structure shall be responsible for pest elimination in the public or shared areas of the structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied, the occupant and owner shall be responsible for pest elimination.|True
79|816|§309.5 Occupant|The occupant of any structure shall be responsible for the continued rodent and pest-free condition of the structure. Exception: Where the infestations are caused by defects in the structure, the owner shall be responsible for pest elimination.|True
80|953|§106.3 Prosecution of Violation|Any person failing to comply with a notice of violation or order served in accordance with Section 107 (Notices and Orders) shall be deemed guilty of a misdemeanor or civil infraction as determined by the local municipality, and the violation shall be deemed a strict liability offense. If the notice of violation is not complied with, the code official shall institute the appropriate proceeding at law or in equity to restrain, correct or abate such violation, or to require the removal or termination of the unlawful occupancy of the structure in violation of the provisions of this code or of the order or direction made pursuant thereto. Any action taken by the authority having jurisdiction on such premises shall be charged against the real estate upon the structure is located and shall be a lien upon such real estate.|True
81|953|§108.1 Unsafe Structure, General|When a structure or equipment is found by the code official to be unsafe, or when a structure is found unfit for human occupancy, or is found unlawful, such structure shall be condemned pursuant to the provisions of this code.|True
82|953|§108.1.1 Unsafe Structures|An unsafe structure is one that is found to be dangerous to the life, health, property or safety of the public or the occupants of the structure by not providing minimum safeguards to protect or warn occupants in the event of fire, or because such structure contains unsafe equipment or is so damaged, decayed, dilapidated, structurally unsafe or of such faulty construction or unstable foundation, that partial or complete collapse is possible.|True
83|953|§108.1.3 Structure Unfit for Human Occupancy|A structure is unfit for human occupancy whenever the code official finds that such structure is unsafe or unlawful as described in Sections 108.1.1 and 108.1.4 or, because of the degree to which the structure is in disrepair or lacks maintenance, is insanitary, vermin- or rat-infested, contains filth and contamination, or lacks ventilation, illumination, sanitary or heating facilities or other essential equipment required by this code or because the location of the structure constitutes a hazard to the occupants of the structure or to the public.|True
84|953|§301.2 Responsibility|The owner of the premises shall maintain the structures and the exterior of the property in compliance with these requirements, except as otherwise provided for in this code. A person shall not occupy as owner-occupant or permit another person to occupy premises which are not in a sanitary and safe condition and which do not comply with the requirements of this chapter. Occupants of a dwelling unit, rooming unit or housekeeping unit are responsible for keeping in a clean, sanitary and safe condition that part of the dwelling unit, rooming unit, housekeeping unit or premises which they occupy and control.|True
85|953|§301.3 Vacant Structures and Land|All vacant structures and premises thereof or vacant land shall be maintained in a clean, safe, secure and sanitary condition as provided herein so as not to cause a blighting problem or adversely affect the public health or safety.|True
86|953|§302.1 Sanitation|All exterior property and premises shall be maintained in a clean, safe and sanitary condition. The occupant shall keep that part of the exterior property which such occupant occupies or controls in a clean and sanitary condition.|True
87|953|§302.3 Sidewalks and Driveways|All sidewalks, walkways, stairs, driveways, parking spaces and similar areas shall be kept in a proper state of repair and maintained free from hazardous conditions. All sidewalks, walkways or similar areas that are available for use by the public, or persons other than the property owner, shall be cleared of snow and ice no later than 24 hours after any snow or ice storm.|True
88|953|§302.4 Weeds|All premises and exterior property shall be maintained free from weeds or plant growth in excess of eight inches. All noxious weeds shall be prohibited. Weeds shall be defined as all grasses, annual plants and vegetation, other than trees or shrubs provided; however, this term shall not include cultivated flowers and gardens.|True
90|953|§302.7 Accessory Structures|All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.|True
91|953|§302.8.1 Motor Vehicles|Except as provided for in other regulations, no inoperative, unlicensed or uninspected motor vehicle shall be parked, kept or stored on any premises, and no vehicle shall at any time be in a state of major disassembly, disrepair, or in the process of being stripped or dismantled. Painting of vehicles is prohibited unless conducted inside an approved spray booth. Exception: A vehicle of any type is permitted to undergo major overhaul, including body work, provided that such work is performed inside a structure or similarly enclosed area designed and approved for such purposes, but not including a tarp.|True
92|953|§302.8.2 Motor Vehicles in Yard|Except as provided for in other regulations, no vehicle shall be parked, kept or stored in any residential yard area not part of a garage driveway.|True
93|953|§303.1 Swimming Pools|Swimming pools shall be maintained in a clean and sanitary condition, and in good repair.|True
94|953|§303.2 Enclosures|Private swimming pools, hot tubs and spas, containing water more than 24 inches in depth shall be completely surrounded by a fence or barrier at least 48 inches in height above the finished ground level measured on the side of the barrier away from the pool. Gates and doors in such barriers shall be self-closing and self-latching. Where the self-latching device is a minimum of 54 inches above the bottom of the gate, the release mechanism shall be located on the pool side of the gate. Self-closing and self-latching gates shall be maintained such that the gate will positively close and latch when released from an open position of six inches from the gatepost. No existing pool enclosure shall be removed, replaced or changed in a manner that reduces its effectiveness as a safety barrier. Exception: Spas or hot tubs with a safety cover that complies with ASTM F 1346 shall be exempt from the provisions of this section.|True
95|953|§303.3 Temporarily Discontinued Use|Below grade swimming pools, the use of which is temporarily discontinued, shall be covered with material which will prevent access to the pool basin and be of sufficient strength to sustain the weight of 100 pounds.|True
96|953|§303.4 Below Grade Discontinued Use|Below grade swimming pools, the use of which is permanently discontinued, shall be filled to ground level with earth and/or other material in accordance with plans and specification supplied by the property owner and approved by the Township Engineer. “Permanently discontinued” is defined as not in use for more than 18 months, beginning on June 1 of any year.|True
97|953|§303.5 Above Grade Discontinued Use|Above grade swimming pools, the use of which is permanently discontinued, shall be dismantled and removed from the property.|True
98|953|§304.3 Premises Identification|Buildings shall have approved address numbers placed in a position to be plainly legible and visible from the street or road fronting the property. These numbers shall contrast with their background. Address numbers shall be Arabic numerals or alphabet letters. Numbers shall be a minimum of 4 inches in height with a minimum stroke width of 0.5 inch.|True
99|953|§304.14 Insect Screens|During the period from April 15 to October 15, every door, window and other outside opening required for ventilation of habitable rooms, food preparation areas, food service areas or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tightly fitting screens of not less than 16 mesh per inch, and every swinging door shall have a self-closing device in good working condition.|True
100|953|§308.1 Accumulation of Rubbish or Garbage|All exterior property and premises, and the interior of every structure, shall be free from any accumulation of rubbish or garbage.|True
101|953|§308.2 Disposal of Rubbish|Every occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.|True
102|953|§308.2.1 Rubbish Storage Facilities|The owner of every occupied premises shall supply approved covered containers for rubbish, and the owner of the premises shall be responsible for the removal of rubbish.|True
103|953|§308.3 Disposal of Garbage|Every occupant of a structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or approved garbage containers|True
104|953|§308.3.1 Garbage Facilities|The owner of every dwelling shall supply one of the following; an approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leakproof, covered, outside garbage container.|True
105|953|§308.3.2 Containers|The operator of every establishment producing garbage shall provide, and at all times cause to be utilized, approved leakproof containers provided with close-fitting covers for the storage of such materials until removed from the premises for disposal.|True
106|953|§309.1 Infestation|All structures shall be kept free from insect and rodent infestation. All structures in which insects or rodents are found shall be promptly exterminated by approved processes that will not be injurious to human health. After pest elimination, proper precautions shall be taken to prevent reinfestation.|True
107|953|§309.2 Owner|The owner of any structure shall be responsible for pest elimination within the structure prior to renting or leasing the structure.|True
108|953|§309.3 Single Occupant|The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for pest elimination on the premises.|True
109|953|§309.4 Multiple Occupancy|The owner of a structure containing two or more dwelling units, a multiple occupancy, a rooming house or a nonresidential structure shall be responsible for pest elimination in the public or shared areas of the structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied, the occupant and owner shall be responsible for pest elimination.|True
110|953|§309.5 Occupant|The occupant of any structure shall be responsible for the continued rodent and pest-free condition of the structure. Exception: Where the infestations are caused by defects in the structure, the owner shall be responsible for pest elimination.|True
113|953|Observation|Oberservation of property. Notice of Violation not warranted at this time.|True
130|816|Observation|Oberservation of property. Notice of Violation not warranted at this time.|True
131|953|§308.2.2 Refrigerators|Refrigerators and similar equipment not in operation shall not be discarded, abandoned or stored on premises without first removing the doors.|True
132|816|§308.2.2 Refrigerators|Refrigerators and similar equipment not in operation shall not be discarded, abandoned or stored on premises without first removing the doors.|True
133|953|§302.7 Accessory structures|All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.|False
134|953|§304.7 Roofs and Drainage|The roof and flashing shall be sound, tight and not have defects that admit rain. Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the structure. Roof drains, gutters and downspouts shall be maintained in good repair and free from obstructions. Roof water shall not be discharged in a manner that creates a public nuisance.|True
