checklistID|Roof|Roof_VID|RainGutters|RainGutters_VID|DownSpouts|DownSpouts_VID|ExtWindows|ExtWindows_VID|WindowScreens|WindowScreens_VID|Doors|Doors_VID|DoorScreens|DoorScreens_VID|ExtRailings|ExtRailings_VID|Porch|Porch_VID|Sidewalks|Sidewalks_VID|Walls|Walls_VID|Ceiling|Ceiling_VID|Floors|Floors_VID|IntWindows|IntWindows_VID|Stairs|Stairs_VID|IntRailings|IntRailings_VID|SmokeDetectorsBed1|SmokeDetectorsBed2|SmokeDetectorsBed3|SmokeDetectorsOther|SmokeDetectors_VID|CODetectors|CODetectors_VID|GeneralSanitation|GeneralSanitation_VID|Mold_Mildew|Mold_Mildew_VID|Vermin|Vermin_VID|Trash_Garbage|Trash_Garbage_VID|KitchenFaucets|KitchenFaucets_VID|BathLavatory|BathLavatory_VID|BathTub|BathTub_VID|BathShower|BathShower_VID|LaundryTub|LaundryTub_VID|Toilet|Toilet_VID|ElectricalService|ElectricalService_VID|IdentifyAllBreakers|IdentifyAllBreakers_VID|Switches_CoverPlates|Switches_CoverPlates_VID|Receptacles_CoverPlates|Receptacles_CoverPlates_VID|GFCIs|GFCIs_VID|KitchenElectric|KitchenElectric_VID|BathRoomElectric|BathRoomElectric_VID|CeilingLights|CeilingLights_VID|ExteriorLights|ExteriorLights_VID|Laundry|Laundry_VID|StairwayLights|StairwayLights_VID|GeneralFurnace|GeneralFurnace_VID|FurnaceVent_Exhaust|FurnaceVent_Exhaust_VID|Thermostat|Thermostat_VID|GeneralHotWaterTank|GeneralHotWaterTank_VID|HotWaterVent_Exhaust|HotWaterVent_Exhaust_VID|TPSafetyValve|TPSafetyValve_VID|BlowOff6inFromFloor|BlowOff6inFromFloor_VID|Controller|Controller_VID|RoofComment|RainGuttersComment|DownSpoutsComment|ExtWindowsComment|WindowScreensComment|DoorsComment|DoorScreensComment|ExtRailingsComment|PorchComment|SidewalksComment|WallsComment|CeilingComment|FloorsComment|IntWindowsComment|StairsComment|IntRailingsComment|SmokeDetectorsComment|CODetectorsComment|GeneralSanitationComment|Mold_MildewComment|VerminComment|Trash_GarbageComment|RecycleBinsComment|KitchenFaucetsComment|BathLavatoryComment|BathTubComment|BathShowerComment|LaundryTubComment|ToiletComment|ElectricalServiceComment|IdentifyAllBreakersComment|Switches_CoverPlatesComment|Receptacles_CoverPlatesComment|GFCIsComment|KitchenElectricComment|BathroomElectricComment|CeilingLightsComment|ExteriorLightsComment|LaundryComment|StairwayLightsComment|GeneralFurnaceComment|FurnaceVent_ExhaustComment|ThermostatComment|GeneralHotWaterTankComment|HotWaterVent_ExhaustComment|TPSafetyValveComment|BlowOff6inFromFloorComment|ControllerComment
1|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|True|True|True|True|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|None|Left front of house trim peeling paint / exposure|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Bedrooms, Hallway and Each Level|N/A|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Dining room receptacle by hutch test open ground, repair or replace|None|None|None|None|None|GFCI reguired for washer machine, cover plates for needed missing ones|None|None|None|None|None|None|None|None|None
2|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
3|Other|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|True|True|True|True|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Other|None|Other|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Fascia trim boards peeling, flaking paint|None|None|None|None|Luandry rm egress door keyed deadbolt|None|None|Address numerals not 4 inches high|None|None|None|None|None|None|None|No detectors in any bedroom, first floor or basement|N/A|None|None|None|None|None|None|None|None|None|None|None|Open breaker slot needs blank installed|None|None|Bdrm #4 needs cover plate. 2 receptacles in furnace rm tested open ground|N/A|None|None|2nd floor bath light out/ possible bulb|None|None|None|None|None|None|None|None|None|None|None
4|Good|None|Other|None|Good|None|Other|None|Other|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|True|True|False|True|None|Other|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Other|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|Good|None|None|Box Gutters 304.2|None|Mstr Br, 2nd Br, Bsmt Br, Bsmt, Kit, Dn Rm 403.1|Mstr Br, 2nd Br, Bsmt Br, Bsmt, Kit, Dn Rm 304.14|None|None|Rear yard steps 307.1|None|None|None|None|None|None|None|None|Required Mstr Br, 2nd Br, Bsmt Br, 1st Flr sleeping, 1st Flr, Bsmt|N/A|In process of moving 305.1, 702.1|None|None|None|None|None|None|None|None|None|None|Garage panel box 604.3|None|None|None|Basement Shower rm 605.2|None|None|None|None|None|None|None|None|None|None|None|None|None|None
5|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.14|None|None|None|None|None|None|None|None|None|None|None|First fl sleeping area 704.2|None|None|None|None|None|Premises ID 304.3|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Spot light garage & Basement 604.3 605.1|None|None|None|None|None|None|None|None|None|None
6|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Good|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Front porch & Dining rm 605.2|Kitchen & Master bath 605.2|None|None|Master bath above tub 605.1|None|None|None|None|None|None|None|None|None|None|None
7|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
8|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
9|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|Other|None|True|True|True|True|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|Other|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.14 - Master Bath, Second Fl Bath, All 4 Bedrm|None|None|None|304.2 - Trim Board Porch|302.3 - Front Sidewalk|None|None|None|None|None|305.5 - Basement Stairs|704.2 - All 4 Bedrooms, Second Fl, First Fl, Basement|None|None|None|None|None|304.3 - Premises ID Contrast Background|None|None|None|None|None|504.1 - Basement|604.3 - Panel Clearance Garage|None|None|605.2 - Garage Cover Plate|None|None|None|None|605.1 - Kitchen Door|None|605.1 - Basement Stair Switch|None|None|None|None|None|None|None|None
10|None|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|Other|None|Other|None|Other|None|None|None|None|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|304.7 Gutter debris|None|None|304.14 - Master Bd, Bth, 2nd Fl Bth, Bed 2,3,4, Lr|None|None|None|None|None|None|305.3 - Family Rm|None|None|None|None|Required 2nd Fl, Mstr Bd, Bed 2,3,4, 1st Fl, Bsmt|None|None|None|None|None|None|504.1 - Sink|None|504.1 - 2nd Fl|None|None|None|None|None|605.1 Lr Fan|605.2 - Mstr Bd, 1st Fl Hall, Bsmt, Grg|None|None|605.1 - Mstr Bth Vanity|605.1 - Bed 4|605.1 - Front entrance, Bsmt exit|None|None|603.1 - Lint on Furnace, Shroud on Condenser|None|None|603.1 - Lint|None|None|None|None
