occInspec_inspection|dateReceived|GENERATEinspectionDate|amount
3|2015-04-21 00:00:00|2015-04-21 00:00:00|45
4|2015-04-24 00:00:00|2015-04-14 00:00:00|45
6|2015-04-28 00:00:00|2015-04-28 00:00:00|45
8|2015-05-01 00:00:00|None|45
239|2016-08-02 00:00:00|2016-07-25 00:00:00|65
240|2016-08-02 00:00:00|2016-06-13 00:00:00|65
241|2016-08-03 00:00:00|2016-07-15 00:00:00|65
176|2016-05-27 00:00:00|2016-05-17 00:00:00|60
178|2016-05-27 00:00:00|2016-05-20 00:00:00|70
179|2016-06-09 00:00:00|2016-05-23 00:00:00|60
180|2016-06-13 00:00:00|2016-06-01 00:00:00|60
181|2016-06-13 00:00:00|2016-05-04 00:00:00|60
182|2016-06-13 00:00:00|2016-05-06 00:00:00|60
183|2016-06-13 00:00:00|2016-05-04 00:00:00|60
184|2016-06-13 00:00:00|2016-06-01 00:00:00|60
185|2016-06-13 00:00:00|2016-06-01 00:00:00|60
186|2016-06-22 00:00:00|2016-05-28 00:00:00|60
187|2016-06-22 00:00:00|2016-05-28 00:00:00|60
188|2016-06-22 00:00:00|None|60
189|2016-06-22 00:00:00|2016-06-07 00:00:00|60
191|2016-07-06 00:00:00|None|55
192|None|None|25
193|2016-07-06 00:00:00|None|60
194|2016-07-06 00:00:00|None|60
195|2016-07-06 00:00:00|None|60
197|2016-07-06 00:00:00|2016-07-06 00:00:00|60
202|2016-07-12 00:00:00|None|60
204|2016-07-12 00:00:00|None|60
205|2016-07-12 00:00:00|None|60
206|2016-07-12 00:00:00|None|60
207|2016-07-12 00:00:00|None|60
208|2016-07-12 00:00:00|None|60
209|2016-07-12 00:00:00|None|60
217|2016-07-14 00:00:00|None|60
219|2016-07-19 00:00:00|2016-07-19 00:00:00|60
222|2016-07-19 00:00:00|None|60
224|2016-07-19 00:00:00|None|60
307|2016-09-13 00:00:00|None|60
308|2016-09-13 00:00:00|None|60
309|2016-09-13 00:00:00|None|60
314|2016-09-13 00:00:00|None|60
315|2016-09-13 00:00:00|None|60
318|2016-09-13 00:00:00|None|60
322|2016-09-16 00:00:00|None|60
582|2016-12-20 00:00:00|2016-12-08 00:00:00|50
583|2016-12-13 00:00:00|2016-12-08 00:00:00|60
584|2016-12-13 00:00:00|2016-12-08 00:00:00|60
251|2016-08-16 00:00:00|None|60
