PropertyID|parID|lotAndBlock|address|ApartmentNo|municipality_muniCode
11997|0454E00046000000|454-E-46|102 PEFFER RD|None|953
11998|0372E00224000000|372-E-224|12 GARDEN TER|None|816
11999|0371M00292000000|371-M-292|3255 NOTTINGHAM DR|None|816
12000|0371P00128000000|371-P-128|3871 HENLEY DR|None|816
12001|0372E00264000000|372-E-264|44 GARDEN TER|None|816
12002|0372G00010000000|372-G-10|428 WOODLAND HILLS DR|None|816
12003|0453M00058000000|453-M-58|138 GEORGE ST|None|953
12004|0372B00126000000|372-B-126|3823 HENLEY DR|None|816
12005|0298K00248000000|298-K-248|2302 MARBURY RD|None|816
12006|0373G00080000000|373-G-80|4225 GREENSBURG PIKE|None|953
12007|0541N00274000000|541-N-274|104 CALMONT DR|None|953
12008|0541P00034000000|541-P-34|113 DUNBAR DR|None|953
12009|0453S00008000000|453-S-8|0 RODI RD|None|953
12010|0454D00116000000|454-D-116|116 PATTERSON ST|None|953
12011|0372A00228000000|372-A-228|205 THORNBERRY DR|None|816
12012|0372C00040000000|372-C-40|2178 BEULAH RD|None|816
12013|0541P00064000000|541-P-64|112 QUEENSTON DR|None|953
12014|0454G00128000000|454-G-128|0 CURRY AVE|None|953
12015|0371R00172000000|371-R-172|818 BEULAH RD|None|816
12016|0371R00116000000|371-R-116|2071 HAMPSTEAD DR|None|816
12017|0372B00086000000|372-B-86|2146 GARRICK DR|None|816
12018|0541P00196000000|541-P-196|252 KINGSTON DR|None|953
12019|0453J00110000000|453-J-110|209 BRIARIDGE DR|None|953
12020|0371R00196000000|371-R-196|821 MARGARETTA ST|None|816
12021|0371R00096000000|371-R-96|2021 BEULAH RD|None|816
12022|0372K00118000000|372-K-118|904 STEVENDALE DR|None|953
12023|0372R00158000000|372-R-158|945 LILLY LN|None|953
12024|0371R00325000000|371-R-325|309 HOMER DR|None|816
12025|0371L00054000000|371-L-54|56 HOLLAND RD|None|816
12026|0298F00258000000|298-F-258|2311 MARBURY RD|None|816
12027|0372B00130000000|372-B-130|3831 HENLEY DR|None|816
12028|0541P00100000000|541-P-100|125 QUEENSTON DR|None|953
12029|0372E00116000000|372-E-116|3827 GREENSBURG PIKE|None|816
12030|0373G00084000000|373-G-84|4233 GREENSBURG PIKE|None|953
12031|0372C00192000000|372-C-192|814 MARGARETTA ST|None|816
12032|0372C00103000000|372-C-103|812 BEULAH RD|None|816
12033|0372E00222000000|372-E-222|14 GARDEN TER|None|816
12034|0452N00040000000|452-N-40|3306 SCATHELOCKE RD|None|816
12035|0371M00272000000|371-M-272|3232 NOTTINGHAM DR|None|816
12036|0541P00038000000|541-P-38|109 DUNBAR DR|None|953
12037|0371P00146000000|371-P-146|3810 BURNABY DR|None|816
12038|0373H00050000000|373-H-50|127 LUCINDA DR|None|953
12039|0454H00058000000|454-H-58|901 LARIMER AVE|None|953
12040|0373H00130000000|373-H-130|568 BEULAH RD|None|953
12041|0372B00122000000|372-B-122|3815 HENLEY DR|None|816
12042|0371K00088000000|371-K-88|2003 GARRICK DR|None|816
12043|0371F00082000000|371-F-82|21 CAMELOT DR|None|816
12044|0372C00195000000|372-C-195|808 MARGARETTA ST|None|816
12045|0453M00006000000|453-M-6|0 BAKER ST|None|953
12046|0373H00125000000|373-H-125|570 BROWN AVE|None|953
12047|0371R00024000000|371-R-24|2148 BEULAH RD|None|816
12048|0371F00141000000|371-F-141|1907 HAMPSTEAD DR|None|816
12049|0372B00112000000|372-B-112|3812 HENLEY DR|None|816
12050|0452N00021000000|452-N-21|3315 SCATHELOCKE RD|None|816
12051|0541P00230000000|541-P-230|249 KINGSTON DR|None|953
12052|0373D00078000000|373-D-78|528 LUCIA RD|None|953
12053|0455A00082000000|455-A-82|509 CLUGSTON AVE|None|953
12054|0371H00040000000|371-H-40|63 LOCKSLEY DR|None|816
12055|0541R00028000000|541-R-28|305 DELANEY DR|None|953
12056|0373B00280000000|373-B-280|0 MILLER ST|None|953
12057|0454G00250000000|454-G-250|140 CURRY AVE|None|953
12058|0454G00054000000|454-G-54|142 ORCHARD ST|None|953
12059|0455B00054000000|455-B-54|0 HIGHLAND AVE|None|953
12060|0372B00110000000|372-B-110|3816 HENLEY DR|None|816
12061|0453K00056000000|453-K-56|311 CHURCHILL RD|None|816
12062|0371L00084000000|371-L-84|59 HOLLAND RD|None|816
12063|0453L00090000000|453-L-90|269 PENHURST DR|None|953
12064|0454G00048000000|454-G-48|142 ORCHARD ST|None|953
12065|0372M00284000000|372-M-284|578 LUCIA RD|None|953
12066|0371P00024000000|371-P-24|2012 GARRICK DR|None|816
12067|0453K00055000000|453-K-55|307 CHURCHILL RD|None|816
12068|0373C00146000000|373-C-146|927 RITA DR|None|953
12069|0371P00014000000|371-P-14|2031 GARRICK DR|None|816
12070|0372B00132000000|372-B-132|3835 HENLEY DR|None|816
12071|0454A00050000000|454-A-50|114 HIBISCUS DR|None|953
12072|0372E00252000000|372-E-252|56 GARDEN TER|None|816
12073|0372B00058000000|372-B-58|132 THORNBERRY DR|None|816
12074|0372C00032000000|372-C-32|2194 BEULAH RD|None|816
12075|0372P00284000000|372-P-284|4029 DOWLING AVE|None|953
12076|0372P00284000000|372-P-284|4029 DOWLING AVE|None|953
12077|0453R00100000000|453-R-100|119 GEORGE ST|None|953
12078|0453J00112000000|453-J-112|207 BRIARIDGE DR|None|953
12079|0454G00124000000|454-G-124|0 CURRY AVE|None|953
12080|0373G00078000000|373-G-78|4221 GREENSBURG PIKE|None|953
12081|0371R00298000000|371-R-298|816 MARGARETTA ST|None|816
12082|0373H00185000000|373-H-185|251 CLINE ST|None|953
12083|0373D00080000000|373-D-80|530 LUCIA RD|None|953
